FID,roof,road,watr,conc,Veg,dry,irr,H,W
1,0,0.302054155,0.254435107,0,0.066526611,0.304621849,0.072362278,4,30
2,0.405048634,0.318897638,0.014821677,0,0.117878648,0.116025938,0.027327466,4.050486336,17.84854099
3,0.459850607,0.257703081,0,0,0.134920635,0.128384687,0.01914099,4.598506069,16.20448179
4,0.564381658,0.036591014,0,0,0.28994905,0.089161649,0.019916628,5.643816582,13.06855025
5,0.329365079,0.225957049,0,0,0.189309057,0.209150327,0.046218487,4,20.11904762
6,0.00140056,0.372082166,0,0,0.188842204,0.281512605,0.156162465,4,29.95798319
7,0.001389532,0.178323298,0,0,0.056044465,0.760305697,0.003937008,4,29.95831403
8,0.311391223,0.450513539,0,0,0.038748833,0.181605976,0.01774043,4,20.65826331
9,0.10130719,0.71031746,0,0,0.058356676,0.12394958,0.006069094,4,26.96078431
10,0.002547476,0.550254748,0,0,0.281611857,0.153543307,0.012042612,4,29.92357573
11,0.231092437,0.368347339,0,0,0.141690009,0.20821662,0.050653595,4,23.06722689
12,0.140805929,0.26864289,0.118341825,0,0.109541454,0.282769801,0.079898101,4,25.77582214
13,0.459850607,0.177170868,0,0,0.253734827,0.072128852,0.037114846,4.598506069,16.20448179
14,0.290149393,0.20681606,0.046918768,0,0.085901027,0.275210084,0.095004669,4,21.29551821
15,0.61208893,0.168133395,0,0,0.136405743,0.083371931,0,6.120889301,11.6373321
16,0.573295985,0.147759104,0,0,0.171568627,0.107376284,0,5.732959851,12.80112045
17,0.488795518,0.12535014,0,0,0.195611578,0.190242764,0,4.887955182,15.33613445
18,0.178139535,0.317674419,0.004186047,0,0.200930233,0.299069767,0,4,24.65581395
19,0,0.41703638,0.07054126,0,0.118456078,0.393966282,0,4,30
20,0,0,0,0,0,1,0,4,30
21,0,0,0,0,0,1,0,4,30
22,0,0,0,0,0,1,0,4,30
23,0,0,0,0,0,1,0,4,30
24,0,0,0,0,0,1,0,4,30
25,0,0,0,0,0,1,0,4,30
26,0,0,0,0,0,1,0,4,30
27,0,0,0,0,0,1,0,4,30
28,0,0,0,0,0,1,0,4,30
29,0,0,0,0,0,1,0,4,30
30,0,0,0,0,0,1,0,4,30
31,0,0,0,0,0,1,0,4,30
32,0,0,0,0,0,1,0,4,30
33,0,0.36457546,0.204774502,0,0.042705971,0.323948098,0.063995969,4,30
34,0.36751656,0.250968629,0.048681415,0,0.113235846,0.175540557,0.044056993,4,18.97450319
35,0.468757874,0.244142101,0,0,0.131141345,0.125346435,0.030612245,4.687578735,15.93726379
36,0.401074866,0.28927634,0,0,0.138795151,0.154230721,0.016622922,4.010748656,17.96775403
37,0.471529352,0.214600655,0,0,0.159674981,0.134479718,0.019715294,4.715293525,15.85411943
38,0.178319476,0.185626102,0.004535147,0,0.235008818,0.156336609,0.240173847,4,24.65041572
39,0.068303962,0.391013623,0,0,0.16304212,0.306024247,0.071616048,4,27.95088114
40,0.472789116,0.325081885,0,0,0.058893928,0.095301083,0.047933988,4.727891156,15.81632653
41,0.253653313,0.385676493,0,0,0.101410935,0.236961451,0.022297808,4,22.3904006
42,0.091738533,0.257592801,0,0,0.190413698,0.440757405,0.019497563,4,27.24784402
43,0.018329554,0.446145125,0.079554044,0,0.140652557,0.28010834,0.03521038,4,29.45011338
44,0.246344207,0.30096238,0.045181852,0,0.112673416,0.271903512,0.022934633,4,22.60967379
45,0.32489292,0.283320736,0.004976064,0,0.116339128,0.251952633,0.018518519,4,20.2532124
46,0.101284958,0.178886369,0.061350466,0,0.055303603,0.522486772,0.080687831,4,26.96145125
47,0.415510561,0.27640295,6.25E-05,0,0.109798775,0.185164354,0.013060867,4.155105612,17.53468316
48,0.467435122,0.280612245,0,0,0.13202318,0.113063744,0.006865709,4.674351222,15.97694633
49,0.425988914,0.249685059,0.001070799,0,0.133219955,0.190035273,0,4.259889141,17.22033258
50,0.111194921,0.392922245,0.007165755,0,0.14318939,0.345527689,0,4,26.66415237
51,0.194601252,0.098121728,0.018372165,0,0.123267987,0.565636867,0,4,24.16196243
52,0.327455919,0.035264484,0,0,0.196473552,0.440806045,0,4,20.17632242
53,0,0,0,0,0,1,0,4,30
54,0,0,0,0,0,1,0,4,30
55,0,0,0,0,0,1,0,4,30
56,0,0,0,0,0,1,0,4,30
57,0,0,0,0,0,1,0,4,30
58,0,0,0,0,0,1,0,4,30
59,0,0,0,0,0,1,0,4,30
60,0,0,0,0,0,1,0,4,30
61,0,0,0,0,0,1,0,4,30
62,0,0,0,0,0,1,0,4,30
63,0,0,0,0,0,1,0,4,30
64,0,0,0,0,0,1,0,4,30
65,0,0.333711262,0.083522298,0,0.0574452,0.478269085,0.047052154,4,30
66,0.322897138,0.130671166,0.157730284,0,0.115298088,0.223909511,0.049493813,4,20.31308586
67,0.394809776,0.288863694,0.000188964,0,0.100151172,0.198727639,0.017258755,4,18.15570673
68,0.522622172,0.196037995,0,0,0.136732908,0.124171979,0.020434946,5.226221722,14.32133483
69,0.424288234,0.273998488,0,0,0.158856135,0.12654321,0.016313933,4.242882338,17.27135299
70,0.280738221,0.195515243,0.00617284,0,0.192176871,0.164902998,0.160493827,4,21.57785336
71,0.352143482,0.194288214,0.002124734,0,0.249218848,0.104674416,0.097550306,4,19.43569554
72,0.190602167,0.35909549,0.001196775,0,0.234567901,0.163076342,0.051461325,4,24.281935
73,0.004220207,0.353678508,0.02563618,0,0.202695893,0.367094986,0.046674225,4,29.8733938
74,0.000249969,0.289526309,0.012873391,0,0.150606174,0.44031996,0.106424197,4,29.99250094
75,0,0.184240363,0.228206097,0,0.099458302,0.446712018,0.04138322,4,30
76,0.292150981,0.323772028,0,0,0.084489439,0.297150356,0.002437195,4,21.23547057
77,0.074766944,0.216805241,0.068909045,0,0.095993953,0.522675737,0.02084908,4,27.75699169
78,0.101788864,0.131456286,0.110040312,0,0.122071051,0.456349206,0.078294281,4,26.94633409
79,0.347644044,0.20303712,0.012248469,0,0.104111986,0.281714786,0.051243595,4,19.57067867
80,0.458931721,0.264109347,0.000629882,0,0.131582263,0.127614009,0.017132779,4.589317208,16.23204837
81,0.124653565,0.369551524,0.004913076,0,0.147140338,0.294910557,0.05883094,4,26.26039305
82,0.103487064,0.239845019,0.009311336,0,0.109173853,0.523684539,0.014498188,4,26.89538808
83,0.137503149,0.222600151,0.002708491,0,0.107079869,0.53010834,0,4,25.87490552
84,0.246760259,0.279620488,0,0,0.123804381,0.349814872,0,4,22.59719222
85,0.281866464,0.059180577,0.002276176,0,0.286798179,0.369878604,0,4,21.54400607
86,0,0,0,0,0,1,0,4,30
87,0,0,0,0,0,1,0,4,30
88,0,0,0,0,0,1,0,4,30
89,0,0,0,0,0,1,0,4,30
90,0,0,0,0,0,1,0,4,30
91,0,0,0,0,0,1,0,4,30
92,0,0,0,0,0,1,0,4,30
93,0,0,0,0,0,1,0,4,30
94,0,0,0,0,0,1,0,4,30
95,0,0,0,0,0,1,0,4,30
96,0,0,0,0,0,1,0,4,30
97,0,0.345394326,0.15991751,0,0.169978753,0.284776903,0.039932508,4,30
98,0.059458119,0.050778102,0.356128712,0,0.059396119,0.390848782,0.083390167,4,28.21625643
99,0.282527184,0.177290339,0.242032246,0,0.061429821,0.202849644,0.033870766,4,21.52418448
