FID,roof,road,watr,conc,Veg,dry,irr,H,W
0,0.681919392,0,0,0.017280608,0.2848,0.016,0,8.208,5.376
1,0.629013108,0,0,0.036586892,0.1824,0.152,0,7.152,8.544
2,0.017835372,0,0,0.371395397,0.363076924,0.247692308,0,0.261538462,29.21538462
3,0.145040248,0,0,0.238959752,0.2656,0.3504,0,1.952,24.144
4,0.596910692,0,0,0.041489308,0.2496,0.112,0,7.136,8.592
5,0,0,0,0,0.8816,0.1184,0,2.592,22.224
6,0,0,0,0.7392,0.1216,0.1392,0,0,30
7,0,0,0.306153846,0.25076923,0.32923077,0.113846154,0,0,30
8,0.123375043,0,0,0.790224957,0.0448,0.0416,0,1.264,26.208
9,0.017394152,0,0,0.669005848,0.2688,0.0448,0,0.208,29.376
10,0,0,0,0.4176,0.4992,0.0832,0,0,30
11,0.102463728,0,0,0.043690118,0.572307692,0.281538462,0,3.030769231,20.90769231
12,0,0,0,0,0.7888,0.2112,0,2.112,23.664
13,0,0,0,0.2496,0.5568,0.1936,0,0,30
14,0,0,0.0016,0,0.5968,0.4016,0,0,30
15,0.138298477,0,0,0.068101523,0.2176,0.576,0,2.112,23.664
16,0.544615385,0,0,0.090769231,0.236923076,0.127692308,0,6.461538462,10.61538462
17,0.148353741,0,0,0.037246259,0.5696,0.2448,0,3.76,18.72
18,0,0,0,0,0.6368,0.3632,0,1.984,24.048
19,0,0,0,0,0.5856,0.4144,0,1.424,25.728
20,0,0,0.0032,0,0.576,0.4208,0,0.608,28.176
21,0,0,0,0,0.612307692,0.387692308,0,0,30
22,0,0,0,0,0.184,0.816,0,0,30
23,0,0,0,0,0.136,0.864,0,0,30
24,0,0,0,0,0.184,0.816,0,0,30
25,0,0,0,0,0.128,0.872,0,0,30
26,0,0,0,0,0.029230769,0.970769231,0,0,30
27,0,0,0,0,0.1328,0.8672,0,0.096,29.712
28,0,0,0,0,0.3312,0.6688,0,0.144,29.568
29,0,0,0,0.56,0.0576,0.3824,0,0,30
30,0,0,0,0.329230769,0.181538462,0.489230769,0,0,30
31,0,0,0,0.1344,0.3776,0.488,0,0,30
32,0,0,0,0.0448,0.6272,0.328,0,0,30
33,0,0,0,0,0.7552,0.2448,0,0,30
34,0,0,0,0,0.8256,0.1744,0,0,30
35,0,0,0,0.038461539,0.486153846,0.475384615,0,0,30
36,0,0,0.0064,0,0.688,0.3056,0,0,30
37,0,0,0.0032,0,0.3456,0.6512,0,0,30
38,0,0,0.0208,0,0.656,0.3232,0,0,30
39,0,0,0.032,0,0.4944,0.4736,0,0,30
40,0,0,0.016923077,0,0.403076923,0.58,0,0,30
41,0,0,0.0272,0,0.2704,0.7024,0,0,30
42,0,0,0.0224,0,0.2896,0.688,0,0,30
43,0,0,0,0,0.3792,0.6208,0,0.576,28.272
44,0,0,0.0064,0,0.2784,0.7152,0,1.024,26.928
45,0,0,0,0,0.049230769,0.950769231,0,0,30
46,0.451701799,0,0,0.156298201,0.0288,0.3632,0,4.624,16.128
47,0.8416,0,0,0.144,0,0.0144,0,8.416,4.752
48,0.01412887,0,0,0.73627113,0.0288,0.2208,0,0.144,29.568
49,0.117410641,0,0,0.559512436,0.083076924,0.24,0,1.246153846,26.26153846
50,0.501868635,0,0,0.358931365,0.0128,0.1264,0,5.056,14.832
51,0.230838307,0,0,0.455561693,0.064,0.2496,0,2.416,22.752
52,0.658047552,0,0,0.255552448,0.0032,0.0832,0,6.592,10.224
53,0.75450411,0,0,0.17509589,0.0096,0.0608,0,7.584,7.248
54,0.387978977,0,0,0.230482561,0.24923077,0.132307692,0,4.661538462,16.01538462
55,0.309537391,0,0,0.381662609,0.0896,0.2192,0,3.296,20.112
56,0.157601629,0,0,0.527198371,0.2016,0.1136,0,1.808,24.576
57,0.129366154,0,0,0.601833846,0.2016,0.0672,0,1.472,25.584
58,0.111466667,0,0,0.222933333,0.4256,0.24,0,1.824,24.528
59,0.00766954,0,0,0.596945844,0.246153846,0.149230769,0,0.092307692,29.72307692
60,0,0,0,0.8544,0.0704,0.0752,0,0,30
61,0.223574144,0,0,0.576425856,0.0832,0.1168,0,2.352,22.944
62,0.467602703,0,0,0.445997297,0.0672,0.0192,0,4.848,15.456
63,0.442342505,0,0,0.218457495,0.2368,0.1024,0,2.89184,14.352
64,0.150090779,0,0,0.063755375,0.563076924,0.223076923,0,1.998153846,19.56923077
65,0,0,0,0,0.8768,0.0704,0.0528,0,30
66,0,0,0,0,0.6752,0.2928,0.032,0.016,29.952
67,0,0,0,0,0.9504,0.016,0.0336,0,30
68,0,0,0,0,0.9344,0.0384,0.0272,0,30
69,0,0,0,0,0.890769231,0.107692308,0.001538462,0.276,28.2
70,0.495172414,0,0,0.079227586,0.336,0.0896,0,2.944,10.8
71,0.056409756,0,0,0.257190244,0.4224,0.264,0,0.43424,27.168
72,0.430742569,0,0,0.020457431,0.368,0.1696,0.0112,2.78944,11.808
73,0.363806428,0,0,0.006962802,0.56923077,0.053846154,0.006153846,2.958153846,10.70769231
74,0.117048128,0,0,0.266951872,0.4288,0.1808,0.0064,0.83904,24.528
75,0.043128358,0,0,0.001671642,0.768,0.168,0.0192,1.89888,17.616
76,0.180338983,0,0,0.019661017,0.544,0.2544,0.0016,1.95776,17.232
77,0.236870244,0,0,0.308729756,0.2208,0.2336,0,1.31008,21.456
78,0.067973925,0,0,0.007410691,0.756923076,0.136923077,0.030769231,1.882461538,17.72307692
79,0.373035411,0,0,0.030164589,0.4768,0.1104,0.0096,2.73056,12.192
80,0.17337284,0,0,0.04102716,0.608,0.1584,0.0192,1.92832,17.424
81,0.118942609,0,0,0.045857391,0.7744,0.0576,0.0032,1.83264,18.048
82,0.008046209,0,0,0.003153791,0.864,0.1248,0,1.46464,20.448
83,0,0,0,0,0.724615385,0.26,0.015384615,1.521538462,20.07692308
84,0.069903797,0,0,0.118896203,0.6336,0.1648,0.0128,0.86112,24.384
85,0,0,0,0,0.7584,0.2272,0.0144,0.4048,27.36
86,0,0,0,0,0.856,0.1408,0.0032,0.86112,24.384
87,0,0,0,0,0.8912,0.104,0.0048,0.33856,27.792
88,0.079153095,0,0,0.100846906,0.584615384,0.229230769,0.006153846,0.955384615,23.76923077
89,0.152297792,0,0,0.018902208,0.672,0.1376,0.0192,2.07552,16.464
90,0.512755094,0,0,0.064844906,0.384,0.0384,0,3.14272,9.504
91,0.06493577,0,0,0.36386423,0.368,0.2,0.0032,0.42688,27.216
92,0.62043298,0,0,0.067259327,0.166153846,0.146153846,0,3.198769231,9.138461538
93,0.266150158,0,0,0.122649842,0.2368,0.3664,0.008,1.59712,19.584
94,0.241491892,0,0,0.166508108,0.368,0.224,0,1.61184,19.488
95,0.305741463,0,0,0.067058537,0.304,0.3232,0,1.97984,17.088
96,0.057932673,0,0,0.052467327,0.1024,0.7872,0,0.39008,27.456
97,0.048733874,0,0,0.105112279,0.187692308,0.658461538,0,0.360923077,27.64615385
98,0.134926027,0,0,0.138673973,0.3872,0.3392,0,1.05984,23.088
99,0.038026667,0,0,0.259573333,0.5568,0.1456,0,0.33856,27.792
100,0.132306542,0,0,0.046893458,0.6688,0.1168,0.0352,1.74432,18.624
101,0.084495706,0,0,0.345904294,0.1824,0.3872,0,1.024,26.928
102,0,0,0,0.8448,0.0832,0.072,0,0,30
103,0,0,0,0.28,0.498461538,0.221538462,0,0,30
104,0.127783051,0,0,0.115416949,0.2688,0.488,0,1.984,24.048
105,0.556314483,0,0,0.101285517,0.0768,0.2656,0,5.888,12.336
106,0,0,0,0,0.728,0.272,0,1.664,25.008
107,0,0,0,0.7136,0.192,0.0944,0,0,30
108,0,0,0.26,0.310769231,0.304615384,0.124615385,0,0,30
109,0.7904,0,0,0.2096,0,0,0,7.904,6.288
110,0.8752,0,0,0.1248,0,0,0,8.752,3.744
111,0.553190977,0,0,0.213209023,0.1696,0.064,0,6.144,11.568
112,0.189056221,0,0,0.30171301,0.184615384,0.324615385,0,2.246153846,23.26153846
113,0.435585624,0,0,0.196414376,0.2496,0.1184,0,5.216,14.352
114,0.036072072,0,0,0.579927928,0.1888,0.1952,0,0.416,28.752
115,0,0,0.0016,0,0.8384,0.16,0,0,30
116,0.18785,0,0,0.05695,0.432,0.3232,0,3.536,19.392
117,0.886272,0,0,0.073728,0.003076924,0.036923077,0,8.876923077,3.369230769
118,0.594152047,0,0,0.218647953,0.016,0.1712,0,6,12
119,0.319071648,0,0,0.359328352,0.0992,0.2224,0,3.424,19.728
120,0.39362243,0,0,0.12157757,0.3392,0.1456,0,5.232,14.304
121,0.218816568,0,0,0.125183432,0.3936,0.2624,0,3.44,19.68
122,0.369418386,0,0,0.053658537,0.415384616,0.161538462,0,5.507692308,13.47692308
123,0,0,0,0,0.8704,0.1296,0,2.336,22.992
124,0,0,0,0,0.6704,0.3296,0,0.08,29.76
125,0,0,0.0016,0,0.712,0.2864,0,0,30
126,0,0,0.0016,0,0.4688,0.5296,0,0,30
127,0,0,0.001538462,0,0.336923077,0.661538462,0,0,30
128,0,0,0,0,0.0768,0.9232,0,0,30
129,0,0,0.0064,0,0.4176,0.576,0,0,30
130,0,0,0,0,0.5584,0.4416,0,0,30
131,0,0,0.033846154,0,0.636923077,0.329230769,0,0,30
132,0,0,0,0,0.6272,0.3728,0,0,30
133,0,0,0,0,0.3424,0.6576,0,0,30
134,0,0,0,0.128,0.0448,0.8272,0,0,30
135,0,0,0,0.3264,0.1088,0.5648,0,0,30
136,0,0,0,0.384615384,0.203076924,0.412307692,0,0,30
137,0,0,0,0.4736,0.3136,0.2128,0,0,30
138,0,0,0,0.6768,0.1568,0.1664,0,0,30
139,0,0,0,0.2256,0.6304,0.144,0,0,30
140,0,0,0,0,0.8,0.2,0,0,30
141,0,0,0.003076923,0,0.773846154,0.223076923,0,0,30
142,0,0,0.0096,0,0.6528,0.3376,0,0,30
143,0,0,0.0192,0,0.6208,0.36,0,0,30
144,0,0,0.0064,0,0.4496,0.544,0,0,30
145,0,0,0.024,0,0.3632,0.6128,0,0,30
146,0,0,0.035384615,0,0.498461539,0.466153846,0,0,30
147,0,0,0.0192,0,0.4864,0.4944,0,0.224,29.328
148,0,0,0.0176,0,0.64,0.3424,0,1.248,26.256
149,0.047208602,0,0.0064,0.109591398,0.5792,0.2576,0,1.344,25.968
150,0.119208277,0,0.004615385,0.265407107,0.283076924,0.327692308,0,1.630769231,25.10769231
151,0.510017591,0,0,0.222782409,0.208,0.0592,0,5.824,12.528
152,0.621224096,0,0,0.165975904,0.0192,0.1936,0,6.288,11.136
153,0.869164228,0,0,0.111635772,0.0064,0.0128,0,8.72,3.84
154,0.875903069,0,0,0.108096931,0.0128,0.0032,0,8.816,3.552
155,0.73862124,0,0,0.115224914,0.07076923,0.075384615,0,7.692307692,6.923076923
156,1,0,0,0,0,0,0,10,0
157,0.779856899,0,0,0.144943101,0.0288,0.0464,0,7.92,6.24
158,0.242751648,0,0,0.590848352,0.08,0.0864,0,2.544,22.368
159,0.001372949,0,0,0.617827051,0.2048,0.176,0,0.016,29.952
160,0,0,0,0.523076923,0.212307692,0.264615385,0,0,30
161,0,0,0,0.7392,0.1056,0.1552,0,0,30
162,0,0,0,0.8912,0.0224,0.0864,0,0,30
163,0.2256,0,0,0.6768,0.0128,0.0848,0,2.272,23.184
164,0.586055474,0,0,0.239544526,0.1024,0.072,0,6.224,11.328
