datetime,Ta,RH,WS,P,Kd,Ld
1/1/2011 0:00,20.4,81,0.555555556,1011.2,0,331.45
1/1/2011 0:30,20,81,1.111111111,1011.1,0,334.73
1/1/2011 1:00,19.9,77,1.388888889,1010.9,0,335.03
1/1/2011 1:30,19.6,78,0,1010.6,0,339.27
1/1/2011 2:00,19.2,82,0.555555556,1010.8,0,338.56
1/1/2011 2:30,19.5,78,0,1010.3,0,339.48
1/1/2011 3:00,19.2,78,1.388888889,1010.6,0,336.58
1/1/2011 3:30,18.9,80,0,1011,0,331.36
1/1/2011 4:00,18.8,75,0.555555556,1010.8,0,330.04
1/1/2011 4:30,18.6,69,2.5,1012.2,0,340.36
1/1/2011 5:00,18.3,73,1.111111111,1011.6,2.01,334.76
1/1/2011 5:30,18.5,73,1.388888889,1011.3,24.61,348.78
1/1/2011 6:00,18.6,71,1.111111111,1011.7,58.19,361.7
1/1/2011 6:30,18.9,73,1.111111111,1011.9,103.12,364.38
1/1/2011 7:00,19.3,76,2.222222222,1011.6,117.58,367.18
1/1/2011 7:30,20.2,72,1.111111111,1012.2,192.21,364.44
1/1/2011 8:00,20.5,73,2.5,1013,251.21,343.94
1/1/2011 8:30,22.3,65,2.5,1013,430.56,347.63
1/1/2011 9:00,22.7,64,2.5,1012.8,761.94,345
1/1/2011 9:30,23.3,60,2.222222222,1012.9,845.47,345.45
1/1/2011 10:00,25.6,49,2.5,1012.8,951.55,348.66
1/1/2011 10:30,25.8,46,2.5,1012.1,1043.17,348.75
1/1/2011 11:00,26.8,42,3.055555556,1011.8,718,368.64
1/1/2011 11:30,27.7,41,5.833333333,1011.4,1127.61,350.57
1/1/2011 12:00,27.1,42,5,1011.7,286.14,391.66
1/1/2011 12:30,24.1,50,6.666666667,1013.5,411.95,391.93
1/1/2011 13:00,24.6,53,4.722222222,1013.3,127.16,395.9
1/1/2011 13:30,24.5,55,2.5,1011,155.14,404.76
1/1/2011 14:00,25.1,48,2.222222222,1011.1,192.8,402.09
1/1/2011 14:30,25.8,44,3.055555556,1011.7,223.92,400.78
1/1/2011 15:00,25.1,48,2.5,1012,616.37,392.2
1/1/2011 15:30,26.4,46,1.388888889,1012.1,947.74,371.63
1/1/2011 16:00,26.6,42,2.222222222,1012,604.89,364.14
1/1/2011 16:30,26.1,43,4.722222222,1012,587.89,352.09
1/1/2011 17:00,24.9,39,5,1012.2,481.69,352.03
1/1/2011 17:30,24.6,41,3.611111111,1012.5,372.65,350.69
1/1/2011 18:00,24.4,40,4.166666667,1012.9,265.24,343.94
1/1/2011 18:30,22.4,44,4.722222222,1013,158.97,336.23
1/1/2011 19:00,21.4,47,3.611111111,1013.3,65.39,330.83
1/1/2011 19:30,20.5,50,3.611111111,1013.9,9.7,323.42
1/1/2011 20:00,19.9,53,2.222222222,1014.6,1.21,318.96
1/1/2011 20:30,18.9,57,2.5,1014.9,0,315.49
1/1/2011 21:00,18,62,3.611111111,1015.1,0,313.34
1/1/2011 21:30,17.6,62,2.5,1015.5,0,312.44
1/1/2011 22:00,17.1,65,3.055555556,1015.6,0,312.03
1/1/2011 22:30,16.9,65,3.611111111,1015.5,0,312.43
1/1/2011 23:00,16.6,69,1.388888889,1015.4,0,312.51
1/1/2011 23:30,16.3,70,0,1015.4,0,312.06
2/1/2011 0:00,16.2,71,0,1015.4,0,311.83
2/1/2011 0:30,15.7,77,0,1015.2,0,310.03
2/1/2011 1:00,16,71,2.222222222,1015,0,306.01
2/1/2011 1:30,15.6,75,1.388888889,1015,0,302.32
2/1/2011 2:00,15.6,67,0.555555556,1014.7,0,302.23
2/1/2011 2:30,15,74,1.111111111,1014.7,0,302.18
2/1/2011 3:00,14.8,74,1.111111111,1014.8,0,302.17
2/1/2011 3:30,14.8,72,2.222222222,1014.8,0,303.3
2/1/2011 4:00,15,72,1.388888889,1014.8,0,302.54
2/1/2011 4:30,15,71,1.111111111,1014.9,0,302.92
2/1/2011 5:00,14.9,71,1.388888889,1015.2,2.46,302.53
2/1/2011 5:30,15,70,1.388888889,1015.4,40.29,302.4
2/1/2011 6:00,15.5,67,1.111111111,1015.8,128.22,305.18
2/1/2011 6:30,16.8,61,2.222222222,1016,238.1,306.88
2/1/2011 7:00,17.8,58,2.5,1016.3,350.8,307.86
2/1/2011 7:30,18.4,57,2.5,1016.7,462.79,310.82
2/1/2011 8:00,18.8,53,3.055555556,1017,577.04,311.29
2/1/2011 8:30,19.2,51,2.5,1017.1,682.33,313.07
2/1/2011 9:00,20.1,47,3.055555556,1017,774.19,319.12
2/1/2011 9:30,20.4,46,2.222222222,1016.8,859.2,320.22
2/1/2011 10:00,21.3,41,2.222222222,1016.4,940.23,321.5
2/1/2011 10:30,22.2,40,3.055555556,1016.4,998.92,325.92
2/1/2011 11:00,22.8,40,2.5,1016.3,1042.17,330.4
2/1/2011 11:30,23.4,38,3.055555556,1016.3,1081.17,330.28
2/1/2011 12:00,24.3,34,2.5,1016.2,1102.04,332.98
2/1/2011 12:30,24.7,34,5.833333333,1015.9,1102.7,336.39
2/1/2011 13:00,24.5,36,4.166666667,1015.6,1090.93,336.56
2/1/2011 13:30,25,34,4.166666667,1015.3,1066.35,335.09
2/1/2011 14:00,25.5,34,4.166666667,1015,1020.59,335.34
2/1/2011 14:30,25.3,31,5,1014.7,962.93,333.57
2/1/2011 15:00,25.6,31,4.722222222,1014.4,893.14,329.8
2/1/2011 15:30,24.7,32,5.833333333,1014.3,812,327.39
2/1/2011 16:00,24.9,30,4.722222222,1014.2,719.2,326.1
2/1/2011 16:30,24.8,30,4.722222222,1014.1,615.09,325.08
2/1/2011 17:00,23.8,34,4.722222222,1014.1,503.47,324.73
2/1/2011 17:30,23.2,35,5,1014.2,395.27,319.2
2/1/2011 18:00,22.1,36,5,1014.6,281.75,314.43
2/1/2011 18:30,21,41,5.833333333,1015,169.54,310.84
2/1/2011 19:00,19.7,46,3.611111111,1015.8,69.56,307.94
2/1/2011 19:30,18.4,52,3.611111111,1016,9.76,304.27
2/1/2011 20:00,17.2,58,3.611111111,1015.9,1.62,302.15
2/1/2011 20:30,16.7,61,3.611111111,1016.4,0,300.88
2/1/2011 21:00,16.2,63,4.166666667,1016.5,0,299.74
2/1/2011 21:30,16,62,4.722222222,1016.5,0,299.78
2/1/2011 22:00,15.7,65,4.722222222,1016.6,0,299.18
2/1/2011 22:30,15.6,65,4.166666667,1016.6,0,299.09
2/1/2011 23:00,15.5,67,3.611111111,1016.4,0,298.02
2/1/2011 23:30,15.5,64,3.611111111,1016.2,0,298.28
3/1/2011 0:00,15.3,67,3.055555556,1015.9,0,297.66
3/1/2011 0:30,15.4,66,2.222222222,1015.6,0,296.99
3/1/2011 1:00,15.3,66,2.222222222,1015.3,0,297
3/1/2011 1:30,15.3,65,3.611111111,1015.3,0,296.95
3/1/2011 2:00,15.3,64,1.388888889,1015,0,296.6
3/1/2011 2:30,15,61,1.388888889,1014.9,0,295.38
3/1/2011 3:00,14.8,62,2.222222222,1014.8,0,294.46
3/1/2011 3:30,14.3,62,3.611111111,1014.8,0,293.12
3/1/2011 4:00,14.1,62,5.833333333,1014.6,0,291.12
3/1/2011 4:30,14.1,60,4.722222222,1014.9,0,290.32
3/1/2011 5:00,13.8,61,2.222222222,1015.4,3.01,290.05
3/1/2011 5:30,13.9,58,2.5,1015.7,39.26,290.44
3/1/2011 6:00,14.2,57,3.611111111,1015.9,128.01,291.97
3/1/2011 6:30,15.4,53,4.166666667,1016,237.56,293.87
3/1/2011 7:00,16.3,50,3.611111111,1016.3,352.2,296.98
3/1/2011 7:30,17,46,4.166666667,1016.6,467.95,299.58
3/1/2011 8:00,18,44,2.5,1017.2,577.13,303.22
